Date,NAO_index
1848-03-01,0.757
1848-04-01,-1.023
1848-05-01,0.691
1848-06-01,-1.78
1848-07-01,1.867
1848-08-01,2.641
1848-09-01,-2.546
1848-10-01,-2.436
1848-11-01,-0.842
1848-12-01,2.548
1849-01-01,2.419
1849-02-01,2.767
1849-03-01,-0.562
1849-04-01,-0.99
1849-05-01,-0.517
1849-06-01,-3.21
1849-07-01,1.203
1849-08-01,0.701
1849-09-01,-2.234
1849-10-01,-0.078
1849-11-01,0.802
1849-12-01,-1.238
1850-01-01,-0.163
1850-02-01,4.134
1850-03-01,-2.216
1850-04-01,0.965
1850-05-01,-1.157
1850-06-01,0.403
1850-07-01,0.305
1850-08-01,0.148
1850-09-01,-2.077
1850-10-01,-2.701
1850-11-01,2.39
1850-12-01,2.358
1851-01-01,3.293
1851-02-01,1.028
1851-03-01,1.504
1851-04-01,-1.658
1851-05-01,-1.534
1851-06-01,-1.621
1851-07-01,-5.395
1851-08-01,4.679
1851-09-01,1.852
1851-10-01,0.777
1851-11-01,-1.769
1851-12-01,1.742
1852-01-01,1.464
1852-02-01,0.411
1852-03-01,-2.502
1852-04-01,-1.597
1852-05-01,0.245
1852-06-01,0.093
1852-07-01,-1.134
1852-08-01,2.943
1852-09-01,-2.021
1852-10-01,-1.646
1852-11-01,-0.93
1852-12-01,1.029
1853-01-01,1.308
1853-02-01,-4.038
1853-03-01,-0.321
1853-04-01,0.764
1853-05-01,-3.173
1853-06-01,1.09
1853-07-01,1.76
1853-08-01,-2.362
1853-09-01,-0.222
1853-10-01,-0.471
1853-11-01,0.51
1853-12-01,-4.284
1854-01-01,1.276
1854-02-01,1.724
1854-03-01,2.673
1854-04-01,0.88
1854-05-01,0.041
1854-06-01,-0.058
1854-07-01,-1.917
1854-08-01,-0.033
1854-09-01,2.621
1854-10-01,1.111
1854-11-01,-1.563
1854-12-01,2.421
1855-01-01,-1.841
1855-02-01,-3.805
1855-03-01,-0.05
1855-04-01,0.985
1855-05-01,-2.283
1855-06-01,0.783
1855-07-01,-2.613
1855-08-01,3.814
1855-09-01,0.792
1855-10-01,-1.087
1855-11-01,-2.418
1855-12-01,-1.661
1856-01-01,-1.251
1856-02-01,-0.102
1856-03-01,-2.266
1856-04-01,2.002
1856-05-01,-0.703
1856-06-01,2.033
1856-07-01,-0.156
1856-08-01,-0.439
1856-09-01,-0.504
1856-10-01,1.122
1856-11-01,-1.695
1856-12-01,-0.225
1857-01-01,-0.695
1857-02-01,2.017
1857-03-01,1.088
1857-04-01,0.554
1857-05-01,-0.17
1857-06-01,-0.328
1857-07-01,5.361
1857-08-01,1.016
1857-09-01,1.213
1857-10-01,-0.2
1857-11-01,-1.678
1857-12-01,3.51
1858-01-01,2.263
1858-02-01,-0.544
1858-03-01,-1.236
1858-04-01,1.236
1858-05-01,0.53
1858-06-01,-0.24
1858-07-01,-1.579
1858-08-01,0.059
1858-09-01,2.327
1858-10-01,-1.863
1858-11-01,-4.413
1858-12-01,3.005
1859-01-01,2.736
1859-02-01,2.37
1859-03-01,1.501
1859-04-01,-1.121
1859-05-01,-0.632
1859-06-01,-0.058
1859-07-01,2.237
1859-08-01,1.816
1859-09-01,0.114
1859-10-01,-2.611
1859-11-01,0.291
1859-12-01,-1.306
1860-01-01,1.541
1860-02-01,0.316
1860-03-01,1.083
1860-04-01,-0.37
1860-05-01,-1.511
1860-06-01,-2.319
1860-07-01,-2.275
1860-08-01,-0.155
1860-09-01,-0.919
1860-10-01,2.282
1860-11-01,-3.44
1860-12-01,-2.144
1861-01-01,-0.56
1861-02-01,0.804
1861-03-01,2.06
1861-04-01,-1.86
1861-05-01,-1.986
1861-06-01,-1.044
1861-07-01,0.73
1861-08-01,2.913
1861-09-01,-0.848
1861-10-01,-0.797
1861-11-01,-1.35
1861-12-01,-1.495
1862-01-01,1.149
1862-02-01,-1.259
1862-03-01,-2.254
1862-04-01,0.643
1862-05-01,0.648
1862-06-01,-0.218
1862-07-01,-2.084
1862-08-01,-1.434
1862-09-01,-1.501
1862-10-01,1.753
1862-11-01,-0.493
1862-12-01,2.918
1863-01-01,1.119
1863-02-01,3.097
1863-03-01,1.882
1863-04-01,2.354
1863-05-01,-1.489
1863-06-01,-0.586
1863-07-01,-0.426
1863-08-01,0.103
1863-09-01,2.465
1863-10-01,-0.592
1863-11-01,1.623
1863-12-01,2.174
1864-01-01,2.028
1864-02-01,-0.271
1864-03-01,-1.778
1864-04-01,0.235
1864-05-01,-1.832
